,nikkei,aord,nyse,dax,ftse,hangseng,sp500,djia
2014-09-09,15749.15,5608.2,11007.3882,9758.03,6829.0,25190.45,2001.54,17111.42
2014-09-10,15788.78,5574.4,10945.6094,9710.7,6830.11,24705.36,1988.44,17013.87
2014-09-11,15909.2,5546.9,10972.214,9700.17,6799.62,24662.64,1995.69,17068.71
2014-09-12,15948.29,5532.3,10975.9874,9691.28,6806.96,24595.32,1997.45,17049.0
2014-09-16,15911.53,5446.2,10909.31,9659.63,6792.24,24136.01,1984.13,17031.14
2014-09-17,15888.67,5411.4,10980.14,9632.93,6780.9,24376.41,1998.98,17131.97
2014-09-18,16067.57,5419.0,10973.739,9661.5,6819.29,24168.72,2001.57,17156.85
2014-09-19,16321.17,5437.3,11024.0617,9798.13,6837.92,24306.16,2011.36,17265.99
2014-09-22,16205.9,5368.2,11024.0617,9798.13,6773.63,23955.49,2011.36,17265.99
2014-09-24,16167.45,5375.9,10815.4207,9595.03,6706.27,23921.61,1982.77,17055.87
2014-09-25,16374.14,5382.4,10885.6006,9661.97,6639.71,23768.13,1998.3,17210.06
2014-09-26,16229.86,5316.6,10722.21,9510.01,6649.39,23678.41,1965.99,16945.8
2014-09-29,16310.64,5269.6,10722.21,9510.01,6646.6,23229.21,1965.99,16945.8
2014-09-30,16173.52,5296.8,10749.0523,9422.91,6622.72,22932.98,1977.8,17071.22
2014-10-01,16082.25,5334.5,10702.9282,9474.3,6557.52,22932.98,1972.29,17042.9
2014-10-02,15661.99,5298.5,10571.5546,9382.03,6446.39,22932.98,1946.16,16804.71
2014-10-03,15708.65,5315.4,10555.7077,9195.68,6527.91,23064.56,1946.17,16801.05
2014-10-06,15890.95,5315.4,10555.7077,9195.68,6563.65,23315.04,1946.17,16801.05
2014-10-07,15783.83,5284.8,10647.5094,9209.51,6495.58,23422.52,1964.82,16991.91
2014-10-08,15595.98,5241.6,10484.5549,9086.21,6482.24,23263.33,1935.1,16719.39
2014-10-09,15478.93,5293.3,10645.669,8995.33,6431.85,23534.53,1968.89,16994.22
2014-10-10,15300.55,5185.7,10409.3807,9005.02,6339.97,23088.54,1928.21,16659.25
2014-10-14,14936.51,5204.0,10166.7371,8812.43,6392.68,23047.97,1874.74,16321.07
2014-10-15,15073.52,5238.0,10185.9088,8825.21,6211.64,23140.05,1877.7,16315.19
2014-10-16,14738.38,5244.3,10109.67,8571.95,6195.91,22900.94,1862.49,16141.74
2014-10-17,14532.51,5260.1,10123.73,8582.9,6310.29,23023.21,1862.76,16117.24
2014-10-20,15111.23,5307.3,10123.73,8582.9,6267.07,23053.95,1862.76,16117.24
2014-10-21,14804.28,5312.5,10327.3378,8717.76,6372.33,23088.58,1904.01,16399.67
2014-10-22,15195.77,5373.3,10500.78,8886.96,6399.73,23403.97,1941.28,16614.81
2014-10-23,15138.96,5369.9,10405.8106,8940.14,6419.15,23333.18,1927.11,16461.32
2014-10-24,15291.64,5399.3,10519.28,9047.31,6388.73,23302.2,1950.82,16677.9
2014-10-27,15388.72,5441.9,10519.28,9047.31,6388.73,23143.23,1950.82,16677.9
2014-10-28,15329.91,5434.0,10544.423,8902.61,6363.46,23520.36,1961.63,16817.94
2014-10-29,15553.91,5431.1,10677.883,9068.19,6402.17,23819.87,1985.05,17005.75
2014-10-30,15658.2,5457.1,10646.6588,9082.81,6453.87,23702.04,1982.3,16974.31
2014-10-31,16413.76,5505.0,10712.19,9114.84,6463.55,23998.06,1994.65,17195.42
2014-11-04,16862.47,5498.2,10808.67,9251.7,6487.97,23845.66,2017.81,17366.24
2014-11-05,16937.32,5492.8,10758.08,9166.47,6453.97,23695.62,2012.1,17383.84
2014-11-06,16792.48,5479.2,10824.0733,9315.48,6539.14,23649.31,2023.57,17484.53
2014-11-07,16880.38,5522.1,10843.54,9377.41,6551.15,23550.24,2031.21,17554.47
2014-11-10,16780.53,5501.4,10843.54,9377.41,6551.15,23744.7,2031.21,17554.47
2014-11-11,17124.11,5494.0,10892.5597,9351.87,6611.25,23808.28,2038.26,17613.74
2014-11-12,17197.05,5443.0,10907.53,9369.03,6627.4,23938.18,2039.68,17614.9
2014-11-13,17392.79,5423.5,10884.0298,9210.96,6611.04,24019.94,2038.25,17612.2
2014-11-14,17490.83,5433.8,10868.92,9248.51,6635.45,24087.38,2039.33,17652.79
